link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country
4308,6021,7651,380,2,f,f,f,81509.540512,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1519'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'1628'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(13.216553, 53.572938)","(13.31543, 52.835958)",DE,DE
4285,2880,7652,220,2,f,f,f,13928.66432,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1496'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'1604'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(8.87695299999999, 52.988337)","(9.03076200000001, 53.087426)",DE,DE
4740,2886,7652,220,2,f,f,f,14233.215359,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1952'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2123'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(9.239502, 53.041213)","(9.03076200000001, 53.087426)",DE,DE
4283,7630,7652,220,2,f,f,f,30347.018639,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1494'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'1602'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(8.59130900000001, 53.199452)","(9.03076200000001, 53.087426)",DE,DE
4577,3033,7653,380,2,f,f,f,17095.324671,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1789'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'1926'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(8.25073199999999, 51.801822)","(7.998047, 51.76784)",DE,DE
4763,2751,7653,380,3,f,f,f,14108.889384,'text_'=>'8'  'symbol'=>'380-400 kV Transmission Line  >= 3 Circuits'  'ogc_fid'=>'1975'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2148'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(8.06396500000001, 51.652111)","(7.998047, 51.76784)",DE,DE
5928,3766,7654,220,1,f,f,f,20191.570215,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'3336'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'3622'  'tie_line'=>'0'  'country_1'=>'SE'  'country_2'=>'SE',"(16.677246, 59.639988)","(16.369629, 59.556592)",SE,SE
5776,3768,7654,220,1,f,f,f,23013.250284,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'3182'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'3457'  'tie_line'=>'0'  'country_1'=>'SE'  'country_2'=>'SE',"(15.974121, 59.495303)","(16.369629, 59.556592)",SE,SE
5782,3767,7654,220,1,f,f,f,6767.367265,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'3188'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'3465'  'tie_line'=>'0'  'country_1'=>'SE'  'country_2'=>'SE',"(16.413574, 59.50088)","(16.369629, 59.556592)",SE,SE
10507,7043,7655,220,2,f,f,f,64543.685513,,"(-4.45927541429767, 39.9081356066578)","(-4.416504, 39.926588)",,
9820,7043,7655,220,2,f,f,f,64543.685513,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'8216'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5075'  'tie_line'=>'0'  'country_1'=>'ES'  'country_2'=>'ES',"(-4.45927541429767, 39.9081356066578)","(-4.416504, 39.926588)",ES,ES
8360,5030,7656,220,1,f,f,f,7963.280002,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7341'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7168'  'tie_line'=>'0'  'country_1'=>'FR'  'country_2'=>'FR',"(2.76855499999999, 49.767074)","(2.88940400000001, 49.75288)",FR,FR
7556,4904,7656,220,2,f,f,f,9716.578589,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6207'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6897'  'tie_line'=>'0'  'country_1'=>'FR'  'country_2'=>'FR',"(2.966309, 49.674738)","(2.88940400000001, 49.75288)",FR,FR
8359,4942,7656,220,2,f,f,f,7356.953918,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'7340'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6897'  'tie_line'=>'0'  'country_1'=>'FR'  'country_2'=>'FR',"(2.823486, 49.809632)","(2.88940400000001, 49.75288)",FR,FR
7423,4946,7656,220,1,f,f,f,67625.845652,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'6070'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6760'  'tie_line'=>'0'  'country_1'=>'FR'  'country_2'=>'FR',"(2.823486, 50.324423)","(2.88940400000001, 49.75288)",FR,FR
8358,4902,7656,220,1,f,f,f,7192.016076,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7339'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6760'  'tie_line'=>'0'  'country_1'=>'FR'  'country_2'=>'FR',"(2.823486, 49.696062)","(2.88940400000001, 49.75288)",FR,FR
9462,6359,7657,220,2,f,f,f,8365.678245,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'4835'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5437'  'tie_line'=>'0'  'country_1'=>'ES'  'country_2'=>'ES',"(-6.108398, 43.068888)","(-6.04247999999999, 43.012681)",ES,ES
11915,7581,7657,220,1,f,f,f,11851.482055,,"(-5.91064499999999, 43.052834)","(-6.04247999999999, 43.012681)",,
8163,4353,7658,380,1,f,f,f,5807.45757,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'6837'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7552'  'tie_line'=>'0'  'country_1'=>'BE'  'country_2'=>'BE',"(3.76831100000001, 51.07592)","(3.76831100000001, 51.124213)",BE,BE
8322,5977,7658,380,2,f,f,f,21403.201507,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'7300'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'8091'  'tie_line'=>'0'  'country_1'=>'BE'  'country_2'=>'BE',"(3.570557, 51.013755)","(3.76831100000001, 51.124213)",BE,BE
8171,4354,7658,380,2,f,f,f,28110.358955,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6845'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7560'  'tie_line'=>'0'  'country_1'=>'BE'  'country_2'=>'BE',"(4.17480499999999, 51.158677)","(3.76831100000001, 51.124213)",BE,BE
4458,2815,7660,380,2,f,f,f,33516.59435,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1670'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'1793'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(10.777588, 48.312428)","(10.755615, 48.019324)",DE,DE
4252,2805,7660,380,2,f,f,f,45868.384863,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits with 1 Circuit Mounted'  'ogc_fid'=>'1463'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'1567'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(10.349121, 47.739323)","(10.755615, 48.019324)",DE,DE
4369,2804,7659,220,2,f,f,f,44371.697537,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits with 1 Circuit Mounted'  'ogc_fid'=>'1581'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'1693'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(10.195312, 47.953145)","(10.755615, 48.019324)",DE,DE
3310,1604,7661,220,2,f,f,f,14009.928109,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'9967'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5229'  'tie_line'=>'0'  'country_1'=>'ES'  'country_2'=>'ES',"(-3.95507800000001, 37.03764)","(-4.05395499999999, 37.134045)",ES,ES
