link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country,src_x,src_y,dst_x,dst_y
9021,6105,6123,220.0,1,f,f,f,105759.477517,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2003'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2178'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.851807, 64.014496)","(-19.841309, 64.096207)",IS,IS,-2432532.028152891,9353446.227696108,-2208724.4145519957,9374237.03715954
9023,6122,6123,220.0,1,f,f,f,15713.28887,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2006'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2181'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-19.80835, 64.23982)","(-19.841309, 64.096207)",IS,IS,-2205055.4354549404,9410926.803598698,-2208724.4145519957,9374237.03715954
9016,6103,6108,220.0,1,f,f,f,62527.422916,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'1998'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2173'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.719971, 64.086607)","(-21.730957, 64.387441)",IS,IS,-2417856.111764669,9371791.220330521,-2419079.067690524,9448839.686283743
9022,6116,6123,220.0,1,f,f,f,58992.96591,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2005'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2180'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.049805, 64.081805)","(-19.841309, 64.096207)",IS,IS,-2343253.573897704,9370568.11882608,-2208724.4145519957,9374237.03715954
9017,6119,6122,220.0,1,f,f,f,22736.612565,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'1999'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2174'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-19.346924, 64.254141)","(-19.80835, 64.23982)",IS,IS,-2153689.728096164,9414595.924806405,-2205055.4354549404,9410926.803598698
9018,6119,6120,220.0,1,f,f,f,9611.899413,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2000'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2175'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-19.346924, 64.254141)","(-19.248047, 64.177679)",IS,IS,-2153689.728096164,9414595.924806405,-2142682.7908049966,9395027.908325525
9024,6118,6120,220.0,1,f,f,f,17863.110891,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2007'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2182'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-18.973389, 64.287526)","(-19.248047, 64.177679)",IS,IS,-2112108.002102698,9423156.740246605,-2142682.7908049966,9395027.908325525
9664,6103,6116,220.0,1,f,f,f,34291.671594,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'8019'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2177'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.719971, 64.086607)","(-21.049805, 64.081805)",IS,IS,-2417856.111764669,9371791.220330521,-2343253.573897704,9370568.11882608
8997,6103,6105,220.0,2,f,f,f,10373.355547,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2004'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2179'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.719971, 64.086607)","(-21.851807, 64.014496)",IS,IS,-2417856.111764669,9371791.220330521,-2432532.028152891,9353446.227696108
9029,6105,6113,220.0,1,f,f,f,7606.456062,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2012'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2187'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.851807, 64.014496)","(-21.917725, 64.077003)",IS,IS,-2432532.028152891,9353446.227696108,-2439869.986347002,9369345.228241911
9019,6120,6123,220.0,1,f,f,f,32110.402246,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2001'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2176'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-19.248047, 64.177679)","(-19.841309, 64.096207)",IS,IS,-2142682.7908049966,9395027.908325525,-2208724.4145519957,9374237.03715954
9027,6108,6122,220.0,2,f,f,f,107211.251555,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2010'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2185'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.730957, 64.387441)","(-19.80835, 64.23982)",IS,IS,-2419079.067690524,9448839.686283743,-2205055.4354549404,9410926.803598698
