link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country,src_x,src_y,dst_x,dst_y
8217,4296,4306,220.0,2,f,f,f,14053.746922,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6891'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7609'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(11.601562, 47.077604)","(11.711426, 47.189712)",AT,AT,1291479.9742465925,5954750.2323771035,1303709.9787831046,5973095.0622305935
8795,4304,4306,220.0,2,f,f,f,17810.941226,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'8478'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7590'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(11.843262, 47.331377)","(11.711426, 47.189712)",AT,AT,1318385.8951713266,5996331.96899764,1303709.9787831046,5973095.0622305935
8196,4313,4315,220.0,1,f,f,f,14335.794265,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'6870'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7586'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(12.667236, 47.346267)","(12.799072, 47.241949)",AT,AT,1410110.2612782237,5998777.949910559,1424786.1776664457,5981656.114731583
4400,2835,4319,220.0,2,f,f,f,48996.246205,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1612'  't9_code'=>'115.10.1'  'visible'=>'1'  'objectid'=>'1726'  'tie_line'=>'1'  'country_1'=>'DE'  'country_2'=>'AT',"(13.040771, 48.676454)","(13.084717, 48.253941)",DE,AT,1451691.9872716889,6220139.662999471,1456584.0336140902,6149206.027304595
8215,4301,4304,220.0,2,f,f,f,88166.296048,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6889'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7607'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(10.733643, 47.26432)","(11.843262, 47.331377)",AT,AT,1194863.6731167852,5985325.049677549,1318385.8951713266,5996331.96899764
4236,2834,4319,220.0,3,f,f,f,13643.745014,'text_'=>' '  'symbol'=>'220 kV Transmission Line  >= 3 Circuits'  'ogc_fid'=>'1447'  't9_code'=>'115.9.1'  'visible'=>'1'  'objectid'=>'1550'  'tie_line'=>'1'  'country_1'=>'DE'  'country_2'=>'AT',"(12.930908, 48.334343)","(13.084717, 48.253941)",DE,AT,1439462.0940546677,6162658.93922819,1456584.0336140902,6149206.027304595
8201,4297,4301,220.0,2,f,f,f,27005.093658,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6875'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7591'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(10.601807, 47.025206)","(10.733643, 47.26432)",AT,AT,1180187.7567285632,5946189.304101534,1194863.6731167852,5985325.049677549
8220,4316,4322,220.0,2,f,f,f,61966.352867,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6894'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7612'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(12.689209, 46.800059)","(13.436279, 46.867703)",AT,AT,1412556.2844494241,5909499.458127934,1495719.7364363552,5920506.506537365
8204,4303,4308,220.0,2,f,f,f,28494.486242,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6878'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7595'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(11.447754, 47.338823)","(11.799316, 47.465236)",AT,AT,1274358.1460066605,5997555.037499671,1313493.8488289255,6018345.822113579
8216,4298,4299,220.0,2,f,f,f,12586.593138,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6890'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7608'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(10.997314, 47.144897)","(10.898438, 47.23449)",AT,AT,1224215.3945737383,5965757.104130896,1213208.5686020628,5980433.152823559
